ecg,gsr,temp,hr,spo2,timest,second
1.74,0.4936,31.3,0,0,298729,1.32
1.74,0.4985,31.3,0,0,298733,1.323
1.74,0.4985,31.3,0,0,298736,1.326
1.7351,0.4936,31.25,0,0,298739,1.329
1.7351,0.4985,31.28,0,0,298742,1.332
1.7351,0.4985,31.3,0,0,298745,1.335
1.7302,0.4985,31.3,0,0,298749,1.338
1.7302,0.5034,31.28,0,0,298753,1.341
1.7253,0.4985,31.28,0,0,298756,1.344
1.7253,0.4985,31.33,0,0,298759,1.347
1.7302,0.5034,31.28,0,0,298762,1.35
1.7302,0.4985,31.28,0,0,298766,1.353
1.7302,0.4985,31.33,0,0,298769,1.356
1.7302,0.5083,31.28,0,0,298772,1.359
1.7204,0.4936,31.28,0,0,298775,1.362
1.7302,0.4985,31.3,0,0,298778,1.365
1.7302,0.4985,31.33,0,0,298782,1.368
1.7693,0.4839,31.3,0,0,298785,1.371
1.74,0.4985,31.3,0,0,298788,1.374
1.7351,0.4985,31.09,0,0,298791,1.377
1.7351,0.5132,31.28,0,0,298795,1.38
1.74,0.4985,31.28,0,0,298799,1.383
1.7351,0.4985,31.3,0,0,298802,1.386
1.7351,0.4985,31.28,0,0,298805,1.389
1.7449,0.4936,31.28,0,0,298808,1.392
1.7351,0.4985,31.25,0,0,298811,1.395
1.7351,0.4985,31.28,0,0,298815,1.398
1.7351,0.4985,31.28,0,0,298818,1.401
1.7351,0.4985,31.33,0,0,298821,1.404
1.7449,0.4839,31.28,0,0,298824,1.407
1.7351,0.4985,31.3,0,0,298827,1.41
1.74,0.4985,31.28,0,0,298831,1.413
1.7742,0.4936,31.28,0,0,298834,1.416
1.7498,0.4985,31.3,0,0,298838,1.419
1.7498,0.4985,31.28,0,0,298841,1.422
1.7791,0.4936,31.3,0,0,298844,1.425
1.7546,0.4985,31.3,0,0,298848,1.428
1.7595,0.4985,31.28,0,0,298851,1.431
1.7595,0.4839,31.28,0,0,298854,1.434
1.7644,0.4985,31.3,0,0,298857,1.437
1.7693,0.4985,31.22,0,0,298860,1.44
1.7937,0.5034,31.28,0,0,298864,1.443
1.7644,0.4985,31.3,0,0,298867,1.446
1.7742,0.4985,31.25,0,0,298870,1.449
1.7742,0.5034,31.28,0,0,298873,1.452
1.7791,0.4985,31.28,0,0,298876,1.455
1.7937,0.4985,31.2,0,0,298881,1.458
1.7986,0.4936,31.28,0,0,298884,1.461
1.8084,0.4985,31.28,0,0,298887,1.464
1.8084,0.4985,31.28,0,0,298890,1.467
1.8035,0.4985,31.25,0,0,298893,1.47
1.8035,0.4936,31.28,0,0,298897,1.473
1.8084,0.4936,31.28,0,0,298900,1.476
1.8182,0.4985,31.2,0,0,298903,1.479
1.8377,0.4985,31.28,0,0,298906,1.482
1.8719,0.4985,31.28,0,0,298909,1.485
1.8964,0.4985,31.3,0,0,298913,1.488
1.9208,0.4985,31.28,0,0,298916,1.491
1.9501,0.4936,31.28,0,0,298919,1.494
1.9501,0.4985,31.15,0,0,298923,1.497
1.9501,0.4936,31.28,0,0,298926,1.5
1.9355,0.4936,31.28,0,0,298930,1.503
1.9257,0.4985,31.28,0,0,298933,1.506
1.9062,0.5034,31.22,0,0,298936,1.509
1.9208,0.4985,31.28,0,0,298939,1.512
1.8719,0.4985,31.3,0,0,298942,1.515
1.8475,0.4985,31.28,0,0,298946,1.518
1.8573,0.4936,31.28,0,0,298949,1.521
1.8035,0.4985,31.28,0,0,298952,1.524
1.7889,0.4985,31.28,0,0,298955,1.527
1.8035,0.4936,31.28,0,0,298958,1.53
1.7693,0.4985,31.28,0,0,298962,1.533
1.7644,0.4985,31.28,0,0,298966,1.536
1.7937,0.4936,31.3,0,0,298969,1.539
1.7595,0.4936,31.28,0,0,298972,1.542
1.7546,0.4985,31.17,0,0,298975,1.545
1.7546,0.4936,31.28,0,0,298979,1.548
